Series Number,Filename,Name,Description,Gender,Attributes,UUID,Sha256
24,charles-the-exporter,charles the exporter,charles a business man an importer and exporter never to be caught idle,male,"hair: none, eyes: grey, teeth: none, clothings: orange and blue, accessories: okpu ozo cap, expression: happy, strength: influential, weakness: incessant",09395e76-19ed-4852-8748-795ee7496a8e,0376f32a3cb6a77462fd67903ead740804649e7f3656be127fca3d33295d2356
25,wole-the-pimp,wole the pimp,wole knows all the babes in town and is always pimping them out,male,"hair: none, eyes: black, teeth: two white teeth with diastema, clothings :yellow dashiki, accessories: yori yori, expression: happy, strength: strong, weakness: promiscuous",4d94d4f7-9b69-4e43-9db1-1fe83df92857,f3cb85b6e66ca920000aa12c139098ac648b6317e8f9cea7e3cae0ff4ae45a42
26,saro-the-baller,saro the baller,saro is a baller and is always ready to turnup,male,"hair: orange afro, eyes: blue, teeth: two white teeth with diastema, clothings: black and yellow kente, accessories: none, expression: angry, strength: strong, weakness: insatiable",d35a7514-8996-42fb-a5f2-5a603ec679c5,c5116d451a01e8449f0e45c85e6cdd49daa7635d2c48f11c078b573be6f07b9a
27,ade-omo-yoruba,ade omo yoruba,ade a yourba man takes pride in the yourba tribe,male,"hair: none, eyes: blue, teeth: complete white teeth and a gold tooth, clothings: black and yellow kente, accessories: wine cap, expression:happy, strength: hardworking, weakness: procrastination ",92984fa0-310b-4377-8a10-15965d044383,f585ae3ebd54406ce4b63a6c405ca06234517b814571f2d3478a872901d42d37
28,shola-cool-kid, shola cool kid,shola prefers to be alone because he hates stress,male,"hair: none, eyes: none, teeth: none clothings: yellow t-shirt and blue dongaris, accessories: red facecap, expression: playful, strength: fun, weakness: playful",3ac5c186-bc14-4eb6-8567-cc818465a64f,f3a06fe3dd9e21ac6f58e5246366f63f210dcf0cbcd533fa2fb6855cac1ce931
29,charlie-the-smoker,charlie the smoker,charlie uses smoking as a coping mechanism,male,"hair: none, eyes: black, teeth: none, clothings: black shirt with lion prints, accessories: blue cap, expression: happy, strength: nice, weakness: gullible",71a0aa22-d111-43b7-8484-43d87310bc42,233c968e7f2eeca60d3de2a9013ad71866135940bf3fa098e98b941ffedc0804
30,femi-the-badguy,femi the badguy,femi is the biggest guy in lagos and he has served plenty babes breakfast,male,"hair: orange, eyes: black, teeth: none, clothings: white t-shirt and blue dongaris, accessories: smoking pipe, expression: unbothered, strength: fearless, weakness: intolerance",e493e3fb-a8a0-455a-854f-0f6474bbc69f,2e260b4fee96a5ed66939dec8835cc9223c921e07f3010c6bd239c1882743177
31,sinzu-money,sinzu money,sinzu loves spending money on flashy things,male,"hair: none, eyes: blue, teeth: white complete teeth and a brown tooth, clothings: purple and yellow kaftan, accessories: green-stripped fila cap, expression: strength, strength: generous, weakness: aggressive ",942f8347-9932-4331-bd15-d0f3a048b54f,eac7753da88bf0b21e55fb9b4b848e2f99df4138116480d8d51441d2f14955e1
32,obinna-the-palmwine tapper,obinna the palmwine tapper,obinna taps palmwine for a living,male,"hair: none, eyes: black, teeth: none, clothings: yellow, black and a touch of pink ankara, accessories: cap, expression: happy, strength: contentment, weakness: naive",0f1af056-2548-4407-bed4-abc11deae05d,b3b8f3741504041b05907b3fc280b76a5296eeec75719fd6d195245d5a1ba025
33,aminu-maikudi,aminu maikudi,aminu is a wealthy man from a family with generational wealth. His exquisite taste shows it,male,"hair: none, eyes: black, teeth: none, clothings: maroon and yellow agbada, accessories: cap, expression: unbothered, strength: confidence, weakness: selfishness",0129e7a5-e3d0-4675-92d0-1a1e55d11612,4a61c4840ab002415f6b81469ad1459461352ec81e8c116167359dca3ec35895
34,sabinus-the-town crier,sabinus the town crier,sabinus delivers messages to his town people,male,"hair: none, eyes: black, teeth: two white teeth with diastema, clothings: orange ankara with touches of blue, accessories: cap, expression: happy, strength: dexterity, weakness: impatience",01d4ce96-818e-44b1-8813-68a7d34b35ba,cab5c6bd76e3fb096565aed56f7455ba5544808fe3ab7125ad4cadafe849b1ee
35,adisa-ibadan,adisa ibadan,"adisa the greatest man in the whole town of ibadan, is authority can never be questioned",male,"hair: none, eyes: black, teeth: none, clothings: kente accessories:abeti-aja cap, expression: mischievous, strength: independent, weakness: bossy",3a925f27-35f6-4dbf-9960-c6527fae5f3e,c55833e5c2f6c7cc3d0b685d83c4037025093d035042b3cf80d4675152bdf74b
36,linda-the-navigator,linda the navigator,linda knows how to make a way for herself and people around her,female,"hair: blonde, eyes: none, teeth: none, clothings:multicolored, accessories: glasses, expression: confused, strength: creative, weakness: insecure",71f335a6-5a4f-4410-9cea-179336f0e498,72bad546bc3ec278c0307ee2747d25617f4ab2c4c07cb7a2a69792462e15e6a1
37,kemi-the-iron lady,kemi the iron lady,kemi the strongest woman known to the town of  igbede people,female,"hair: ginger, eyes: none, teeth: none, clothings: ankara, accessories:glasses and a pipe, expression: cool, strength: disciplined, weakness: perfectionist ",35b11a31-5b92-49f4-8fb1-30f255d22054,0a3976434c5ee8ba905701b74d303dded2261675cfcee11692994da20c72ec4e
38,mercy-the-sassy lady,mercy the sassy lady,mercy only care about spending her father's money and treats people like trash,female,"hair: brown, eyes: none, teeth:none, clothings: ankara, accessories: glasses, expression: sassy, strenght: creative, weakness: sensitive",7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,332be1aac5d16097519456c022e1098d0a80dcb4a9c6288b49f6836eb73c719e
39,sandra-money,sandra money,sandra likes getting and spending money,female,"hair: brown, eyes: none, teeth:none, clothings:yellow and black, accessories: glasses, expression: confused, strength: brave, weakness: overthinker",1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,dbe045cd4ec1aaa22a61feacfe94a89f2f17b44c10e09bc9499ac39ed54a3a38
40,bimpe-the-fashionista,bimpe the fashionista,bimpe loves wearing trendy clothes and looking gorgeous,female,"hair: blonde, eyes: none, teeth:gap teeth, clothings: black cold shoulder shirt, accessories: glasses, expression: shocked, strength: intelligent, weakness: procrastination",92b548b7-998b-46b6-8198-80d407209483,9a973714c59319e232260f1fb3bb328f6f8c7f29f9a38db4a30f469bb629f624
,,,,,,,bde89e70afdde5beb0056ef5f4bbc9efba5d81c24907c476825979759453ec0e
TEAM ENGINE,,,,,,,493e6a586ea903a464c2ac596c86333a396e1794c874f524742b5fe69920eb16
41,kim-rich-aunty,kim rich aunty,she loves spoiling her nieces and nephew,Female,Hair: blue. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,3344a73c-f15e-4afd-a1b2-3199e27eb08f,ec4769c5e471f032d8add7915cebb285f5c3a82b0843270b65ed436fb0d6fd78
42,barbra-vampire-bc,barbra vampire bc,she loves drinking the blood of her victims,Female,Hair: blue. Eyes:none . Teeth: gap. Clothing: ankara . Accessories:chain . Expression: grinning. Strength:team player . Weakness:money.,4f31fd99-4918-42a9-a112-fa60ef36d5c6,bd1df60637deaedb05abfcee6eaf200bdddb388191ba69b7b241c53ae785be8e
43,jean-art-dolger,jean art dolger,loves collecting art for charity ,Female,Hair: ginger. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:earings . Expression: frown. Strength:brave . Weakness:men,5e1105d9-e485-462d-a5bf-1eb931976b13,536bc26c280122328adaa5c9588ba23fd016c1068b8c308fb4573b9b8acc8190
44,flora-burger- eater,flora burger eater,she loves eating burgers,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:height,054dffd1-cdff-417b-b6c2-a679dabd087b,a3d1d35313f65e02429cbe7d3693ff8e47723f37d68d7570fb3a1acb4dfd49f6
45,jessie-lord-rings,jessie lord rings,she seeks her 'precious',Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:spices,caacabe1-0abc-43af-92e2-2231248bff93,584854fe0cac167a1efaa68dfd88ccf969b765d1c3a5b2586bb0df135c403891
46,pinky-monky-ponk,pinky monky ponk,she love to dance the honky tonk,Female,Hair: white. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:assertive . Weakness:water,bd6a4b38-543e-40fa-9153-f7e1a947ebb1,0d41a98878408cc123a5e3fbe35aaa373cb56c6ad4a47ed8e78ac3558a6772f8
47,wanjiru-hippie-glitter,wanjiru hippie glitter,a hippie that loves her glitters,Female,Hair: maroon. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: none. Strength:loveble. Weakness:shy around people,683f0d27-3cb4-4948-b1b5-09f10bee575a,2572babd44a3231e9ec3d36bf13fbe9cf20f5cabf63ef05660473fa738fab462
48,njoki-binary-coder,njoki binary coder,she codes with the best and tops the set,Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:goodlistener,Weakness:height.",9b59bdb4-0c6c-4107-9d72-6d38d308edb4,e88a7a5e6273041a969ff53f85fd733dbc05323b0e02a732953519243a244f6b
49,wangu-calaba-hustler,wangu calaba hustler,she's a mean hustler so be careful,Female,Hair: green. Eyes:brown . Teeth: fangs . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:spider,67f7da93-3925-4def-b660-58f558c14a19,a79a8134b97100485728b5e57d49cbefe88dac6761a748e75e4d63ef274ad409
50,lulu-dey-kpako,lulu dey kpako,she's as skinny as she is beautiful,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:water,23b6c38f-ab84-4565-bfe9-d9eb019c9f29,4184e3cccfac2dfffa8198ff4eac208edeea7c944921d2dd0e009539ed39cdd2
51,kiki-cala-flier,kiki cala flier,she flies first class and gets the best deals,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:coackroaches,d24aefff-c9fc-4ea9-a7cf-1b741076c822,abe852e3283e3314d6ece4773b972e76ef6bd18486b8b2fdbdf86e34b42023df
52,purity-nft -investor,purity nft investor,she is an angel investor looking for the next big thing,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:,ee86ef77-4793-411a-88d3-ea54d84f6b24,b668735d0c5dcfc1f486c674d1cc4b686312cc336d59d72e37849422e7b5b7b5
53,june-binary-monk,june binary monk,she has a twin thats from Tibet ,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,102c4cdb-f812-44fd-bf47-5065284c6075,89dce37c79c0997daf90e96eac3667b736d0ec1ca47d7ade3e4c042aa4cb5ffc
54,aisha-crows-damsel,aisha crows damsel,she is always a damsel in distress,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,c4071af3-b49e-4ad6-898b-7828f90465fb,92e1885efafd0b16492a59ea32909cea55861e9f860b0927f0135c410dd6d2e6
55,bobo-crypto-lovely,bobo crypto lovely,she is a crpto guru you can trust all through,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,427ea0f5-30a3-4d70-a5bd-a6106409b83c,ef32970e5d34e040b0cac0305a5accfcd2ed7926a17f5d146e7e9a37c17ec9f7
56,nell-light -embrace,nell light embrace,she is an empath; ready with a kind word or hug,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,9dfe30b4-c71a-471c-8091-f5c4a238eed8,df0502236151916532b61ae4b8889440729e346b0ca09f204541f53d16b3b171
57,rachel-mood-silent,rachel mood silent,"introvert  to the core, a mysterious lady",Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,11450acd-f0d7-406f-bc18-bdb680404845,3597c0235c56e91fab19ebc98d123120062164bad1e1aa0c46326d76afb8ae95
58,nana-reflector-agent,nana reflector agent,she loves her chrome fashion stye,Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .,63bda633-bfca-4b28-823f-7772936b4103,ca438c1a3de435a8119b13e569aaea79370366b6a629e78b1b9e5b00c194f220
59,bree-busy-gossip,bree busy gossip,"never wisper your secrets to her, except you want the world to know",Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:clusterphobic,4f5898d9-fc99-4053-a56c-b2ec1ef41347,bab21b1a7860f43aa1b40de18e797df5d70d3c5e4459a84af335bea90bb1843b
60,jude-shadow-fighter,jude shadow fighter,"a ninja warrior, the last samurai standing",Female,Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:fire,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,6882fb6f56215b5298066f169c18580532a9de1ab335112125c7981673a1857b
,,,,,,,03c2cb327e9dfc17ff91ead8d719334abcf022a5ae6e932c43ecae52856a5e3d
TEAM GRIT,,,,,,,bae37b504d276b5c93f1772a3db176b39aaeff79b5da575c30a5898bbc5f325a
61,toy-soldier,toy soldier,a man stronger than an army,male,"hair: bald, eyes: closed, teeth: none, clothing: overall, accessories: nose mask, expression: happy, strengths: powerful, weakness: sentimental",fc8ea3ac-59d1-11ed-9b6a-0242ac120002,045a493c8e0fa4c41000cd96d9ba5c21891b8b361d17ccbb74f3e37e8c2c77e0
62,pipey-rivers,pipey rivers,a man who loves the water so much and fixes its path,male,"hair:bald, eyes: opened, teeth:none, clothing: overall, accessories: nose mask, strengths: calculative, weakness: public speaking",58f69cae-59d1-11ed-9b6a-0242ac120002,171569c5a79ffed23fa071b11e154c1da223e55a6065d244d59e5cbac9770d3c
63,phiri-of-zambia,phiri of zambia,an african woman with strength and beauty,female,"hair: two purple bun, eyes:nose, teeth: none, clothing: adire, accessories: sunglasses, expression: jiggy, strengths: free spirit, weakness: blind ",24b537fa-59d3-11ed-9b6a-0242ac120002,dec68f3dc3d434e4321e7ec7be5dfe383fd2e6bf80d70b83d501a62d431cf046
64,patrick-of-bikinibottom,patrick of bikinibottom,a white man who loves the African culture and associates with their dressing,male,"hair: bald, eyes: opened, teeth: none, clothing: kente, accessories: nose mask, expression: confused, strengths: adaptation, weakness: fluency",064c7b84-59d3-11ed-9b6a-0242ac120002,3def62935aea4997c9ec815b55045015a21d0d59e49586ad38b3e4093585e7d4
65,nobuhle-of-zulu,nobuhle of zulu,a woman well endowed with beauty,female,"hair: brown bun, eyes: none, teeth: none, clothing: iqoyi, accessories: sunglasses, expression: astonished, strengths: cool headed, weakness: pressure",1ee5b1ce-59d3-11ed-9b6a-0242ac120002,050a211ad8e18f0bc1dd741b7cb89217db8f2fd6daceba99bc94935b1c0205e5
66,nkosazana-of-xhosa,nkosazana of xhosa,an african princess always proud of her culture,female,"hair: ginger afro, eyes:none, teeth: gap teeth, clothing:umbaco, accessories: sunglasses, expression: fufilled, strengths: confidence, weakness: endurance",2f1a1724-59d3-11ed-9b6a-0242ac120002,e26958c9b78179f80eac6a0d5fe49ebc12e3c55448c5e2431f36e45193b1e1c1
67,mandla-of-zulu,mandla of zulu,a simple and an introvert who keeps to himself,male,"hair: bald, eyes: opened, teeth: none, clothing: eshowe, accessories: nose mask, expression: irritated, strength: strong willed, weakness: relationship",d04553b2-59d7-11ed-9b6a-0242ac120002,e9aee73bcf011b4dbb1c9efcaa0ab44bed4842624f40dce16654f9c4e0c105d3
68,john-doe,john doe,a principled guy who is conscious of his health and ensures protection from infection,male,"hair: bald, eyes: opened, teeth: none, clothing: ankara, accessories: nose mask, expressions: cold strength: cleaniness, weakness: perfectionist",5d19795e-59d2-11ed-9b6a-0242ac120002,977042a6209d732051940edc0ade72cfbbe0482be5b826f47930d955e2d2f6e5
69,ghost-of-power,ghost of power,a woman stronger than ten men combined,female,"hair: black tied with scalf, eyes: none, teeth: none, clothing: iqoyi, accessories: sunglasses and pipe, espression: ruthless, strength: badass weakness: cancer",29c764ca-59d3-11ed-9b6a-0242ac120002,f526129b3c37e92ea93ab0e1e19e774272eb22aa5e0949448b2fa3dc1c0da5aa
70,freida,freida,a man who is always peaceful,male,"hair: bald, eyes: closed, teeth: none, clothing: overall, accessories: nose mask, expression: calm, strength: peaceful weakness: anger",ee671c4a-59d2-11ed-9b6a-0242ac120002,3e5786087a781c50ebad55dd53365206a4b494677bdad98071e0f0454952ea34
71,flamboyant-tree,flamboyant tree,beautiful african woman,female,"hair: one bun dark brown, eyes: none, teeth: none, clothing: kente, accessories: sunglasses, expression: happy, strength: beauty, weakness: lover girl",380e4990-59d3-11ed-9b6a-0242ac120002,fbf8e23a15f88507ebec510680de8f7d1d36f451d72b168ff877aebc1c2341a7
72,david-of-accra,david of accra,a combatant who fights and defends his people,male,"hair: bald, eyes: opened, teeth: none, clothing: kente, accessories: nose mask, expression: angry, strength: super powerful, weakness: sleeping",1c1ef1b4-59d1-11ed-9b6a-0242ac120002,f6699dd33828f2527e0330fca5de68b1d3d1e833e3671498b78b547c2029a709
73,cally-lily,cally lily,a man who is a breath of fresh air,male,"hair: male, eyes: opened, teeth: none, clothing: overall, accessories: nose mask, expression: confused, strength: calm weakness: sun",82bba87c-59d1-11ed-9b6a-0242ac120002,0fa1ac70ca8315e962f536d714dde20e922dc08a2d72515d92b200c0e46e22c4
74,bubune-of-accra,bubune of accra,"a man with honor, always conscious of his health",male,"hair: bald, eyes: closed, teeth: none, clothing: kente, accessories: nose mask, expression: happy,  strength: clean weakness: foodie",faa4b530-59d2-11ed-9b6a-0242ac120002,90e4e5ac8378d465629ed6c20e829cc9488658e61d903808dbeb9dab17d73e3d
75,bediako-of-accra,bediako of accra,a strong man always ready to fight for what is right,male,"hair: bald, eyes: opened, teeth: none, clothing: balck with kente, accessories: nose mask, expression: suspicious,  strength: activist, weakness: irrational",fb6e8222-59d0-11ed-9b6a-0242ac120002,8486adbc6c45dc1f97ae11c8b673843cfa47099b35e67d16a2aa4c5a4f0b4830
76,avatar-aang,avatar aang,a man who is ready to save the world,male,"hair: bald, eyes: opened, teeth: none, clothing: kaftan, accessories: nose mask, expression: soothing, strength: mind games, weakness: insomia",169f93a0-59d2-11ed-9b6a-0242ac120002,09a4c10fb09849031b6f7621537e65e95b2468b91765fc4ce3613501d540d782
77,argus-greek,argus greek,a man who you will always find on the look out ,male,"hair: bald, eyes: opened, teeth: none, clothing: overall, accessories: nose mask, expression: suspicious, strength: strong , weakness: lateness",e7f26b26-59d2-11ed-9b6a-0242ac120002,c5d971da0ed99ce5ef205cc1abb06d978b2308c1f3528c08281ff7dfe10eeb22
78,amahle-of-zulu,amahle of zulu,"A traditional man, feeling fulfilled",male,"hair: bald, eyes: closed, teeth: none, clothing: ankara print, accessories: nose mask, expression: excited, strength: conversationist, weakness: traditionalist",169f93a0-59d2-11ed-9b6a-0242ac120002,f067cef79bca7aa6d63871b40b8cf8c3c2e68b5a92bab505c926334aaad9c688
79,agnar-ole,agnar ole,a man who feels like an outcast and always has a battle with his mind,male,"hair: bald, eyes: opened, teeth: none, clothing: overall, accessories: nose mask, expression: furious, strength: strong willed, weakness: crying",f3f11fd0-59d2-11ed-9b6a-0242ac120002,12db8cba12f9b7dfd8bee67c5762d1bcd7a1a4ef121255eaf48e126f5d19df23
80,adom-kulu,adom kulu,"a Ghanaian model, proud of his culture",male,"hair: bald, eyes: opened, teeth: none, clothing: kente, accessories: nose mask, expression: irritated,  strength: height,  weakness: pride",00f6589e-59d3-11ed-9b6a-0242ac120002,7cb1be0714a9464d707c91b2a4eb90b94aea2ea7ee0140a8a6a644043798be76
,,,,,,,25bd6c46edb11ee91776ac289b7e969f361a09efe9c33d27e34fa89625169bbc
